International Visitors;World Region;;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;;;Notes:
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOTAL ALL COUNTRIES;;;44.680.701;39.187.795;35.987.060;34.463.949;38.172.774;49.205.955;50.977.390;56.134.944;58.007.274;55.102.743;60.010.360;63.477.416;66.966.897;71.642.907;75.379.354;77.773.526;76.407.488;77.186.746;79.745.918;79.441.595;19.212.014;22.280.100;50.770.685;66.349.859;72.390.321;;TOTAL All Countries;Canada and Mexico volumes, and the North America and Total All Countries annual volume sums for 2023 and 2024 are subject to revision in February 2026.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OVERSEAS;;;25.974.701;21.832.868;19.116.707;18.026.213;20.322.257;21.678.528;21.668.290;23.892.277;25.341.451;23.756.184;26.362.616;28.539.631;30.070.908;33.688.677;35.295.842;38.700.150;38.129.404;38.905.524;39.883.361;40.393.346;7.594.470;9.174.707;23.952.957;31.468.481;35.159.249;;OVERSEAS (NET);Canada and Mexico volumes, and the North America and Total All Countries annual volume sums for 2023 and 2024 are subject to revision in February 2026.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ghana;Africa;;16.073;17.184;18.957;20.760;18.679;15.155;12.710;14.625;18.507;17.069;18.554;20.053;20.930;23.014;23.089;22.638;23.509;24.106;29.360;31.904;5.680;13.670;26.443;38.523;44.422;;Ghana;
Gibraltar;Western Europe;;1.363;929;690;841;1.336;1.674;1.573;1.659;2.058;1.656;1.304;987;1.130;1.383;1.407;1.510;1.298;1.042;1.688;1.750;225;223;1.409;1.544;1.442;;Gibraltar;
Greece;Western Europe;;61.361;49.371;44.839;40.993;43.208;49.835;49.923;58.292;63.760;56.748;64.581;64.738;59.547;63.847;64.478;71.396;74.444;82.635;82.796;84.691;14.358;16.140;66.877;79.388;90.682;;Greece;
Grenada;Caribbean;;10.412;8.656;7.161;7.509;8.691;8.083;8.182;8.325;8.673;8.202;8.507;8.174;7.453;8.322;8.039;9.623;9.559;10.388;11.032;12.588;2.095;4.887;9.348;14.352;16.516;;Grenada;
Guadeloupe;Caribbean;;10.253;7.448;6.290;6.019;6.623;7.844;6.486;7.613;9.750;9.964;8.205;6.321;6.122;5.474;4.303;5.574;5.093;5.319;9.251;9.145;1.467;2.527;4.891;6.277;7.334;;Guadeloupe;
Guatemala;Central America;;185.677;171.955;162.367;151.891;161.983;170.076;173.793;201.286;188.177;189.455;188.218;185.336;193.316;211.103;223.761;234.636;256.407;252.248;272.671;282.094;80.092;279.896;256.613;325.275;371.476;;Guatemala;
Guinea;Africa;;4.184;4.334;3.589;3.958;3.528;2.822;2.707;2.522;2.348;1.827;1.536;1.755;1.966;1.727;2.282;2.284;2.877;2.705;2.657;2.537;527;704;1.757;2.921;3.723;;Guinea;
Guinea-Bissau;Africa;;71;64;30;15;12;24;23;18;25;24;37;46;33;118;166;173;180;178;196;196;44;92;176;187;207;;Guinea-Bissau;
Guyana;South America;;17.435;16.955;19.358;15.991;14.777;16.091;14.195;13.760;12.974;14.774;15.601;16.749;23.545;30.264;36.954;50.988;62.067;60.648;55.565;52.243;11.514;37.313;50.091;64.837;78.622;;Guyana;
Haiti;Caribbean;;72.190;65.169;59.444;59.756;60.521;63.970;58.918;83.837;91.748;80.572;87.334;83.648;85.403;96.873;113.561;125.189;147.478;136.002;131.003;126.295;48.332;69.703;62.301;51.551;41.487;;Haiti;
Heard Island and McDonald Islands;Oceania;;;;;;;;;;;;;;;3;19;22;17;10;17;18;6;3;18;37;57;;Heard and Mcdonald Island;
Holy See/Vatican;Western Europe;;28;19;8;13;7;14;8;15;19;15;32;59;53;105;106;114;101;95;160;170;71;64;154;167;198;;Holy See/Vatican;
Honduras;Central America;;90.714;87.645;85.322;82.099;85.506;89.718;92.445;111.059;116.902;115.405;115.616;121.218;128.801;146.576;155.606;175.368;196.765;206.638;213.389;219.472;69.027;241.579;235.716;300.428;323.517;;Honduras;
Hong Kong;Asia;;203.300;170.267;135.409;114.112;123.335;135.108;137.278;142.419;139.359;116.023;131.712;130.986;132.706;126.887;122.693;133.491;132.654;147.168;151.740;155.243;22.631;9.814;43.204;93.280;106.299;;Hong Kong;
Hungary;Eastern Europe;;59.174;45.311;35.001;31.984;32.694;37.308;37.257;40.467;42.209;48.806;51.333;59.845;58.466;62.934;68.368;78.267;78.625;86.780;93.716;99.907;17.148;10.721;62.993;78.634;86.679;;Hungary;
Iceland;Western Europe;;27.682;20.868;18.692;21.389;26.777;38.929;42.139;46.796;41.155;28.526;39.153;50.160;46.410;49.429;50.382;56.554;57.856;66.357;73.361;60.241;8.963;8.450;43.980;43.099;45.458;;Iceland;
India;Asia;;274.202;269.674;257.271;272.161;308.845;344.926;406.845;567.045;598.971;549.474;650.935;696.107;747.833;905.834;985.667;1.147.693;1.206.771;1.285.466;1.378.035;1.473.517;335.990;433.305;1.256.915;1.762.369;2.190.345;;INDIA;
Indian Ocean Areas (French);Asia;;;;;;;;;;;;;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;Indian Ocean Areas (French);
Indian Ocean Territory;Asia;;;;;;;;;;;;;0;0;6;22;18;22;93;280;284;66;113;328;418;390;;Indian Ocean Territory;
Indonesia;Asia;;71.390;59.672;45.811;40.744;45.905;51.566;53.133;53.829;49.348;50.243;54.539;69.022;76.197;92.517;98.752;97.805;101.003;106.579;109.143;117.236;15.913;32.901;75.145;100.421;95.025;;Indonesia;
Iran;Middle East;;9.364;8.536;4.996;3.454;4.311;5.330;5.940;6.520;6.098;10.139;11.460;15.101;15.300;19.075;27.186;28.210;24.009;15.553;4.915;5.412;1.181;3.578;11.426;18.267;20.622;;Iran, Islamic Republic of;
Iraq;Middle East;;537;949;541;442;1.046;1.131;993;788;872;1.263;2.207;4.007;6.676;11.208;13.845;11.219;13.491;10.819;9.753;11.374;2.715;839;9.387;15.709;15.465;;Iraq;
Ireland;Western Europe;;285.697;276.806;259.687;254.320;345.119;383.400;414.423;491.055;531.198;411.203;360.492;353.640;335.063;381.981;401.373;451.364;443.005;483.615;530.802;520.692;80.327;49.399;402.619;454.988;494.344;;IRELAND;
Israel;Middle East;;325.199;305.431;263.097;249.034;275.373;284.310;283.889;313.077;332.257;308.213;306.914;310.484;300.882;345.751;361.034;408.836;425.085;421.202;439.153;450.572;84.800;208.264;355.194;376.439;417.077;;Israel;
Italy;Western Europe;;612.357;472.348;406.160;408.633;470.805;545.546;532.829;634.152;779.463;753.310;838.225;907.748;843.851;885.580;970.293;1.045.424;988.860;1.032.107;1.073.383;1.086.026;140.547;135.636;717.593;976.952;1.123.844;;ITALY;
Jamaica;Caribbean;;242.903;229.003;183.903;159.484;163.059;175.351;204.912;221.521;204.982;185.526;178.791;161.645;160.600;180.467;209.323;250.600;278.518;278.420;290.929;293.334;80.837;159.930;206.622;278.940;308.348;;Jamaica;
Japan;Asia;;5.061.377;4.082.661;3.627.264;3.169.682;3.747.620;3.883.906;3.672.584;3.531.489;3.249.578;2.918.268;3.386.076;3.329.014;3.771.563;3.887.328;3.653.454;3.792.997;3.603.786;3.595.607;3.493.313;3.752.980;696.727;121.519;597.330;1.518.522;1.843.879;;JAPAN;
Jordan;Middle East;;17.327;18.490;12.339;11.798;12.265;14.656;14.714;15.572;15.712;15.559;16.459;18.872;20.945;25.167;30.446;37.043;37.950;37.970;37.240;35.482;8.735;15.758;22.513;34.972;33.998;;Jordan;
Kampuchea;Asia;;2.319;3.304;2.575;3.115;3.480;3.056;2.425;2.568;2.664;2.314;2.611;2.457;2.953;4.069;3.521;3.416;4.579;4.667;5.681;6.966;980;1.851;7.976;11.211;11.830;;Kampuchea;
Kazakhstan;Asia;;3.311;3.608;3.602;3.355;3.784;4.992;5.629;7.444;9.133;8.459;10.852;13.177;15.320;17.688;20.810;22.396;21.161;26.080;26.716;28.244;7.182;11.561;21.332;31.827;37.460;;Kazakhstan;
Kenya;Africa;;14.229;20.651;17.275;13.913;14.979;14.118;14.909;16.468;17.296;15.833;15.173;14.151;15.302;17.437;20.764;23.600;25.164;29.499;33.485;35.455;7.225;13.190;21.673;29.930;33.760;;Kenya;
Kiribati;Oceania;;639;578;516;547;453;325;161;190;199;282;258;301;236;270;163;178;231;174;143;174;27;12;86;120;210;;Kiribati;
Kosovo;Eastern Europe;;;;;;;;;;;;;;;414;3.479;3.739;3.997;3.594;5.560;4.192;1.580;380;0;0;0;;Kosovo;
Kuwait;Middle East;;23.930;22.834;14.204;13.775;15.247;18.367;20.866;24.864;28.258;29.888;33.296;40.030;46.821;52.417;66.524;75.259;74.460;60.594;62.658;61.231;14.572;21.350;36.307;39.820;37.652;;Kuwait;
Kyrgyzstan;Asia;;906;796;765;600;641;608;837;1.075;1.252;1.279;1.716;1.908;2.010;3.103;2.438;2.321;2.896;1.992;3.596;3.957;1.277;2.033;5.033;8.710;12.330;;Kyrgyz Republic;
Laos;Asia;;1.045;1.608;1.190;955;1.192;1.724;1.837;1.976;1.503;1.103;808;719;896;2.215;1.760;1.561;1.797;1.685;1.905;1.914;184;48;1.544;2.406;1.299;;Lao P.D.R.;
Latvia;Eastern Europe;;7.161;6.218;5.870;5.280;5.787;6.981;7.693;9.728;10.240;11.270;11.529;13.263;15.339;15.694;16.996;18.989;19.420;21.254;20.349;21.032;4.279;3.501;15.765;19.839;22.480;;Latvia;
Lebanon;Middle East;;18.599;19.401;14.517;12.981;15.074;15.543;15.880;19.251;18.253;17.969;18.847;21.826;24.224;32.773;37.431;38.042;39.104;36.631;36.951;36.548;9.470;14.292;22.655;28.354;29.919;;Lebanon;
Lesotho;Africa;;326;248;272;201;232;269;233;242;246;259;298;350;378;309;329;375;379;391;450;393;66;52;239;388;419;;Lesotho;
Liberia;Africa;;3.823;2.367;1.400;848;1.038;669;976;1.749;1.345;1.086;1.543;1.936;2.984;3.463;4.471;4.386;3.767;3.565;3.483;3.042;465;433;1.004;1.767;1.828;;Liberia;
Libya;Africa;;297;283;212;199;264;542;719;1.476;4.099;2.904;4.440;1.160;2.555;3.127;2.899;2.149;1.336;730;297;393;135;330;979;1.416;2.407;;Libya;
Liechtenstein;Western Europe;;2.011;1.653;1.248;1.099;1.235;1.287;1.468;1.496;1.661;1.877;1.909;2.301;2.161;2.214;2.338;2.592;2.082;2.091;2.159;2.312;294;296;1.482;1.920;2.049;;Liechtenstein;
Lithuania;Eastern Europe;;9.122;11.484;9.482;7.539;6.997;6.959;7.373;9.480;11.355;14.264;8.846;4.411;3.976;15.448;21.855;26.125;27.660;32.375;31.568;34.088;6.135;5.577;27.498;35.013;39.438;;Lithuania;
Luxembourg;Western Europe;;16.385;12.093;9.646;9.522;10.709;12.243;12.202;14.613;18.712;18.084;17.748;18.054;17.521;19.202;19.686;22.218;19.360;17.242;21.836;24.366;3.168;2.608;17.766;22.747;22.868;;Luxembourg;
Macao SAR;Asia;;4.077;3.195;2.377;2.209;2.366;2.986;2.958;3.260;3.573;3.171;3.469;3.452;3.661;3.207;3.258;3.581;4.401;5.104;4.630;3.550;1.646;967;1.717;3.265;3.921;;Macao SAR;
Macedonia;Western Europe;;2.841;2.960;3.404;3.119;2.633;2.656;3.181;3.723;3.804;3.585;4.059;4.662;4.889;5.109;5.408;6.050;6.599;7.660;7.871;7.731;1.963;2.954;6.058;9.234;9.809;;Macedonia, FYR;
Madagascar;Africa;;708;678;500;499;454;593;655;718;880;780;703;761;806;900;1.138;1.195;1.285;1.283;1.495;1.674;299;302;1.391;1.903;1.954;;Madagascar;
Malawi;Africa;;1.365;1.332;1.212;1.098;1.092;1.238;1.055;1.200;1.304;1.210;1.331;1.391;1.528;1.613;1.790;2.210;2.300;2.217;2.384;2.028;491;540;2.000;2.811;2.863;;Malawi;
Malaysia;Asia;;74.507;52.396;40.750;34.274;45.396;51.442;50.597;55.762;54.262;43.292;54.080;61.261;68.384;80.731;83.931;82.129;81.054;81.353;87.881;86.914;12.687;10.259;41.580;65.692;69.743;;Malaysia;
Maldives;Asia;;124;97;72;82;93;150;176;249;243;181;149;164;190;262;361;308;387;259;281;379;73;144;426;542;515;;Maldives;
Mali;Africa;;4.015;3.845;2.743;2.705;1.480;1.688;2.668;2.778;3.273;3.115;3.106;3.072;2.305;3.105;3.196;3.162;3.562;3.388;3.777;3.788;856;1.677;2.505;3.337;3.815;;Mali;
Malta;Western Europe;;8.437;6.679;4.482;4.080;5.157;5.206;4.346;5.084;5.063;4.902;5.380;5.060;5.415;5.664;5.630;6.026;6.250;6.487;7.501;8.583;1.168;1.199;6.695;9.165;10.046;;Malta;
Marshall Islands;Oceania;;0;0;0;0;0;0;0;0;0;0;0;231;241;191;148;110;106;126;97;154;59;52;107;171;224;;Marshall Islands;
Martinique;Caribbean;;9.912;7.500;6.021;5.902;5.531;5.755;4.751;7.080;8.175;8.014;7.706;7.103;6.233;4.511;6.398;7.312;5.593;5.042;7.839;7.101;823;959;2.766;3.530;6.168;;Martinique;
Mauritania;Africa;;707;776;558;564;582;625;496;414;473;496;636;559;576;978;1.487;1.401;1.311;824;703;1.265;360;301;574;698;761;;Mauritania;
Mauritius;Africa;;1.899;1.577;846;701;836;1.245;1.458;1.581;1.776;2.005;2.523;2.772;3.217;3.647;3.788;3.734;3.987;4.013;4.473;5.131;846;692;3.288;4.577;5.669;;Mauritius;
Mayotte;Africa;;0;0;0;0;0;0;0;0;0;0;0;0;0;11;71;65;42;29;55;73;106;47;95;125;136;;Mayotte (Africa - French);
Mexico;North America;;4.039.000;3.828.000;3.846.000;3.772.000;3.994.000;12.665.331;13.316.858;14.483.096;13.755.613;13.373.085;13.472.127;13.601.024;14.198.644;14.547.237;17.069.821;18.374.224;18.990.585;17.788.008;18.387.405;18.328.181;6.808.656;10.576.371;12.435.501;14.367.064;16.989.951;;MEXICO;"Source: Banco de Mexico (2000-2012); INEGI (2013-current).  Canada and Mexico volumes, and the North America and Total All Countries annual volume sums for 2022 and 2023 are subject to revision in February 2025."
Micronesia;Oceania;;;;;;;;;;;;;430;451;586;544;522;473;413;667;598;124;68;312;666;748;;Micronesia;
Moldova;Eastern Europe;;1.625;1.159;1.177;1.427;1.661;2.186;2.549;3.368;3.795;3.976;4.828;5.395;6.399;7.683;7.581;8.464;9.291;8.422;8.653;9.990;3.271;4.492;7.078;9.425;9.256;;Moldova;
Monaco;Western Europe;;5.622;4.550;3.851;3.707;4.136;4.671;4.848;5.520;6.380;6.156;4.725;3.990;4.120;4.043;3.838;3.993;3.652;2.899;4.020;5.084;979;1.075;3.551;3.987;3.506;;Monaco;
Mongolia;Asia;;;;;;;;;;;;;8.144;8.353;10.341;11.947;12.902;13.204;12.758;13.951;15.450;3.000;4.088;10.532;13.975;19.503;;Mongolia;
Montenegro;Western Europe;;;;;;;;;;;;;;;514;3.781;4.751;5.009;3.832;6.331;5.765;1.596;1.715;3.627;5.169;6.138;;Montenegro;
Montserrat;Caribbean;;1.027;727;650;696;810;782;858;761;726;593;344;194;206;294;311;269;280;200;315;404;78;119;207;319;302;;Montserrat;
Morocco;Africa;;19.079;17.106;12.464;11.857;12.538;13.430;13.270;13.922;16.426;16.919;18.657;21.304;21.884;25.318;27.571;30.185;31.062;28.742;28.374;33.901;7.097;11.530;29.482;37.638;43.069;;Morocco;
Mozambique;Africa;;987;918;710;623;689;783;737;749;949;1.151;1.132;1.245;1.491;2.374;2.708;2.361;2.097;2.127;2.378;2.255;429;469;1.486;2.090;1.837;;Mozambique;
Namibia;Africa;;1.144;1.021;883;912;1.033;1.004;1.076;1.208;1.246;1.251;1.430;1.767;1.883;1.872;1.921;2.075;2.022;2.307;2.294;2.428;657;594;1.763;2.246;2.290;;Namibia;
Nauru;Oceania;;476;132;39;18;19;22;14;18;12;15;80;94;89;128;130;118;147;104;105;79;12;13;40;101;182;;Nauru;
Nepal;Asia;;4.101;5.450;6.047;6.270;6.446;8.117;9.768;11.892;14.706;11.908;12.513;12.971;13.124;14.398;18.160;25.968;31.401;31.978;32.077;33.760;8.134;18.436;30.116;42.472;48.525;;Nepal;
Netherlands;Western Europe;;553.297;411.742;384.367;373.690;424.872;448.650;446.785;506.852;607.802;547.790;570.179;620.563;609.077;630.404;645.480;728.596;674.544;700.872;725.283;727.229;111.318;85.829;473.009;572.271;619.261;;NETHERLANDS, THE;
Netherlands Antilles;Caribbean;;60.042;52.378;58.043;54.170;56.179;59.126;62.412;66.250;65.516;43.114;26.615;10.892;9.088;5.268;3.389;3.873;1.802;1.749;2.291;1.872;292;1.673;1.328;1.598;1.746;;Netherlands Antilles;
New Caledonia;Oceania;;1.759;1.476;1.025;961;1.116;1.273;1.139;1.244;1.605;1.459;782;494;455;885;806;777;544;556;1.008;1.135;251;59;558;997;939;;New Caledonia;
New Zealand;Oceania;;172.012;144.216;109.580;107.214;127.394;139.780;138.486;147.735;145.325;131.012;174.619;192.513;187.745;244.278;264.355;296.704;292.884;294.119;306.566;299.447;43.844;11.711;138.306;252.538;256.808;;New Zealand;
Nicaragua;Central America;;46.892;43.483;36.387;37.244;38.308;38.713;39.720;44.196;45.171;42.194;41.050;40.985;45.788;49.080;52.507;59.831;62.876;62.254;67.477;67.485;16.900;44.507;50.846;68.845;74.359;;Nicaragua;
Niger;Africa;;1.433;2.118;4.930;1.720;3.614;2.903;2.194;1.084;1.084;1.039;978;950;1.093;1.084;1.033;1.269;1.259;1.414;1.345;1.184;342;334;955;835;1.290;;Niger;
Nigeria;Africa;;27.124;37.406;40.128;46.938;45.606;47.397;44.999;52.996;72.669;68.505;79.427;85.243;103.202;146.914;176.520;194.670;191.027;196.885;187.057;150.108;24.595;39.576;72.040;114.263;116.969;;Nigeria;
Niue;Oceania;;10;18;11;6;3;11;7;8;10;7;6;17;7;12;19;14;13;25;34;23;5;3;16;26;61;;Niue;
North Korea;Asia;;28;16;29;29;6;15;36;23;17;27;127;132;163;258;299;395;445;225;525;600;173;174;616;1.239;959;;North Korea;
Norway;Western Europe;;147.540;123.268;112.593;113.233;130.400;139.043;145.359;172.882;213.983;193.318;221.145;253.047;266.087;297.010;319.072;324.394;278.000;287.407;280.565;267.930;42.204;21.591;143.118;171.060;173.412;;Norway;
Oman;Middle East;;5.396;5.051;3.468;2.911;3.221;3.447;3.422;4.175;4.771;4.727;4.812;5.708;7.408;9.165;10.912;11.939;11.473;10.745;11.747;11.564;3.859;4.839;7.048;7.194;6.983;;Oman;
Pakistan;Asia;;51.942;57.732;39.442;31.222;34.233;33.234;31.978;34.071;35.738;36.426;38.954;39.643;44.734;56.474;69.843;86.926;100.746;90.978;95.465;96.580;26.065;44.697;81.157;109.653;143.347;;Pakistan;
Palau;Oceania;;;;;;;;;;;;;2.839;2.762;2.540;1.409;185;165;180;171;141;30;55;190;188;312;;Palau;
Palestine;Middle East;;;;;;;;;;;;;;;483;5.427;5.771;7.618;6.680;6.219;5.998;1.246;2.383;4.526;7.526;10.264;;Palestine;
Panama;Central America;;107.349;87.714;75.495;72.413;76.032;78.855;81.358;87.329;102.832;109.968;118.976;120.270;132.277;151.521;157.137;177.833;171.322;157.299;174.826;196.709;55.451;127.790;145.168;160.188;164.980;;Panama;
Papua New Guinea;Oceania;;1.336;934;668;586;537;588;549;487;638;778;649;633;662;988;976;1.643;1.034;772;826;1.140;164;110;571;850;1.073;;Papua New Guinea;
Paraguay;South America;;18.714;16.405;12.069;9.754;9.716;10.326;9.218;10.973;12.062;12.564;14.657;16.877;19.384;26.355;28.818;31.029;32.076;30.704;35.643;34.295;8.157;38.145;23.519;26.428;27.698;;Paraguay;
Peru;South America;;192.062;186.008;164.482;154.324;151.409;151.823;133.398;148.967;162.883;160.474;173.269;174.108;187.882;231.020;252.394;287.566;296.633;287.524;303.980;331.905;91.917;404.937;308.304;339.516;364.152;;Peru;
Philippines;Asia;;168.053;180.549;173.203;134.338;143.962;153.821;153.887;171.829;179.820;171.680;177.525;172.322;179.716;216.698;226.165;244.202;287.762;309.311;310.054;332.022;45.812;61.041;191.218;290.716;364.246;;Philippines;
Pitcairn Islands;Oceania;;1;0;2;0;4;5;0;4;34;1;2;5;11;57;64;28;42;30;70;87;15;10;46;76;99;;Pitcairn Islands;
Poland;Eastern Europe;;116.277;108.244;108.707;107.892;123.003;134.430;137.588;138.525;146.887;115.327;114.702;113.816;110.185;137.708;162.914;172.147;180.847;199.559;211.107;228.395;48.717;36.108;226.767;305.587;365.759;;Poland;
Portugal;Western Europe;;86.333;67.222;56.012;54.572;60.930;68.111;71.406;80.611;89.158;74.457;93.584;100.908;95.563;102.654;110.128;116.285;128.481;138.213;147.012;155.287;24.543;25.335;126.584;156.612;180.321;;Portugal;
Qatar;Middle East;;5.860;5.730;2.842;2.698;3.203;4.250;5.650;7.850;10.759;11.523;14.931;19.333;23.913;27.059;30.225;34.119;33.962;27.674;32.086;33.146;5.985;19.298;25.576;33.283;28.650;;Qatar;
Reunion;Africa;;331;202;81;174;127;229;130;249;437;513;533;583;740;698;889;1.443;2.949;1.093;1.508;2.004;254;147;1.297;1.568;1.943;;Reunion;
Romania;Eastern Europe;;27.418;28.261;26.440;25.058;30.270;37.627;39.775;44.466;49.968;41.411;45.444;47.074;48.020;56.031;59.907;62.967;69.160;75.820;80.796;88.574;17.698;22.087;55.026;82.823;92.647;;Romania;
Russia;Eastern Europe;;76.739;70.348;64.228;62.330;72.419;84.780;94.681;114.850;142.998;142.650;174.511;226.825;258.368;350.167;352.535;269.572;273.518;300.544;265.732;256.782;60.953;81.961;49.776;62.375;87.977;;Russia;
Rwanda;Africa;;776;682;657;674;945;1.132;1.218;1.490;1.752;1.649;1.840;2.269;2.850;2.916;3.491;3.654;4.654;4.403;5.542;6.197;1.503;2.507;4.183;5.146;6.512;;Rwanda;
Saint Barthelemy;Caribbean;;;;;;;;;;;;;;;3;68;65;34;49;55;56;14;50;100;246;352;;Saint Barthelemy;
Saint Maarten;Caribbean;;;;;;;;;;;;;;;120;1.591;1.637;1.568;1.985;3.045;0;0;0;0;0;0;;Saint Maarten;
Saint Martin;Caribbean;;;;;;;;;;;;;;;5;63;116;97;95;247;219;1.474;4.061;5.511;5.764;5.702;;Saint Martin;
San Marino;Western Europe;;794;503;281;284;362;429;514;524;700;694;674;770;608;597;669;738;644;618;712;669;120;59;262;547;724;;San Marino;
Sao Tome And Principe;Africa;;57;49;33;33;28;30;34;45;24;20;160;180;105;50;62;71;61;57;52;30;9;6;32;37;49;;São Tomé and Príncipe;
Saudi Arabia;Middle East;;75.320;69.755;25.588;18.727;18.573;25.119;31.511;38.938;48.590;62.030;89.409;146.205;198.973;232.410;282.792;291.408;251.063;179.623;176.158;159.597;29.875;48.548;79.164;97.605;101.283;;Saudi Arabia;
Senegal;Africa;;11.185;10.395;7.762;6.830;5.689;4.804;4.445;5.212;6.623;6.536;7.176;7.347;7.088;7.981;8.009;7.818;8.506;8.155;8.107;8.871;2.561;4.708;7.660;10.054;10.226;;Senegal;
Serbia;Western Europe;;;;;;;;;;;;;;;3.160;5.377;23.408;20.416;16.522;5.381;29.452;8.698;11.924;20.088;29.943;34.234;;Serbia;
Seychelles;Africa;;419;420;266;246;164;189;167;199;213;186;217;198;194;269;319;354;382;290;394;394;80;151;336;407;457;;Seychelles;
Sierra Leone;Africa;;706;697;765;882;919;858;925;1.367;1.517;1.474;1.734;2.047;2.006;2.448;2.681;2.301;2.578;2.993;2.481;2.750;479;1.242;2.913;4.777;4.785;;Sierra Leone;
Singapore;Asia;;136.439;99.010;97.259;87.525;106.527;115.939;122.995;135.209;141.474;107.400;139.319;162.976;164.066;159.190;153.045;160.410;150.650;148.107;166.348;185.894;25.599;22.124;121.625;152.864;159.864;;Singapore;
Slovakia;Eastern Europe;;13.235;12.498;12.235;10.677;11.641;13.800;14.965;16.468;19.297;27.711;30.911;34.486;34.305;36.822;39.773;45.213;45.698;47.097;49.791;53.447;8.338;6.329;34.242;43.018;49.326;;Slovak Republic;
Slovenia;Western Europe;;14.886;10.980;7.300;9.420;11.045;12.566;12.762;16.125;20.637;19.213;18.845;19.749;19.018;18.744;20.580;24.282;20.631;23.470;25.335;28.108;6.343;3.492;16.173;22.354;28.772;;Slovenia;
Solomon Islands;Oceania;;128;148;159;99;93;74;81;116;132;138;88;109;123;300;256;263;373;175;196;204;30;15;199;144;223;;Solomon Islands;
Somalia;Africa;;105;78;23;22;35;55;30;49;55;72;98;117;56;138;224;244;287;147;142;172;67;146;198;371;346;;Somalia;
South Africa;Africa;;116.113;94.882;73.910;72.029;78.433;89.102;89.017;93.719;93.692;78.934;80.174;93.247;101.056;112.121;115.857;125.543;115.243;124.486;134.042;130.313;25.284;17.546;80.652;108.691;120.034;;South Africa;
South Korea;Asia;;661.844;617.892;638.697;617.573;626.595;705.093;757.721;806.175;759.394;743.846;1.107.518;1.211.197;1.295.069;1.437.924;1.473.365;1.775.456;1.982.516;2.334.839;2.210.597;2.298.279;439.286;202.711;919.796;1.600.400;1.700.123;;SOUTH KOREA;
South Sudan, Republic of;Africa;;;;;;;;;;;;;;;9;221;358;237;280;411;;;;;;;;Republic of South Sudan;
Spain;Western Europe;;361.177;291.052;269.520;284.031;333.432;385.640;424.224;516.471;658.333;596.766;639.654;711.982;620.641;657.147;715.139;759.951;807.447;826.818;876.248;943.248;151.519;182.458;773.421;825.790;897.336;;SPAIN;
Sri Lanka;Asia;;9.898;8.730;6.613;7.622;7.512;9.024;10.432;12.044;11.552;9.778;10.853;12.683;13.040;15.651;17.336;19.538;21.427;22.747;20.885;20.187;3.310;4.244;13.636;19.154;21.557;;Sri Lanka;
St. Helena;Africa;;;;;;;;;;;;;35;22;43;40;41;45;42;61;48;14;21;35;51;39;;St. Helena;
St. Kitts and Nevis;Caribbean;;12.084;10.183;7.917;7.897;9.863;11.403;11.112;11.086;11.045;10.222;10.328;9.710;8.640;10.321;10.626;10.983;10.989;10.364;11.277;13.019;1.956;3.356;8.213;12.147;14.866;;St. Kitts and Nevis;
St. Lucia;Caribbean;;18.100;14.941;12.530;12.007;13.846;13.879;15.022;15.520;13.814;13.397;15.072;13.341;11.699;13.105;13.327;14.427;15.271;14.780;15.300;16.933;2.914;6.453;11.932;15.957;19.547;;St. Lucia;
St. Pierre And Miquelon;Western Europe;;;;;;;;;;;;;76;86;104;101;133;123;99;140;141;17;14;90;160;120;;St. Pierre and Miquelon;
St. Vincent and the Grenadines;Caribbean;;7.291;5.931;4.992;4.928;5.724;5.939;6.544;6.155;6.043;6.002;6.221;6.288;5.626;7.607;8.021;8.258;8.347;8.023;8.276;9.401;1.761;3.220;6.153;9.765;10.986;;St. Vincent and the Grenadines;
Sudan;Africa;;1.479;1.659;852;670;628;669;1.066;1.311;1.395;1.547;2.006;2.649;2.031;2.114;3.056;3.291;4.499;2.674;3.163;2.651;670;675;2.072;2.767;2.657;;Sudan;
Suriname;South America;;7.039;5.832;5.237;5.346;5.812;5.665;5.266;6.008;7.022;8.630;8.941;9.142;10.741;12.384;13.222;14.810;12.486;12.070;12.871;14.338;1.845;5.947;14.217;13.860;15.783;;Suriname;
Swaziland;Africa;;358;310;200;191;215;399;357;316;575;499;838;1.202;1.394;1.653;1.746;1.853;1.508;1.131;1.629;1.611;284;318;1.447;1.725;1.736;;Swaziland;
Sweden;Western Europe;;321.881;230.538;204.156;211.386;254.258;290.530;285.994;337.474;397.017;324.417;371.853;443.214;445.841;493.345;554.024;588.297;560.581;522.211;506.323;451.612;73.940;46.876;247.593;287.747;304.820;;SWEDEN;
Switzerland;Western Europe;;395.031;310.826;253.940;230.042;243.186;256.730;270.571;296.369;341.955;355.727;390.591;483.234;481.103;495.816;502.509;538.490;471.070;441.270;463.139;474.550;63.321;56.094;314.226;396.283;404.434;;SWITZERLAND;
