International Visitors;World Region;;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;;;Notes:
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOTAL ALL COUNTRIES;;;44.680.701;39.187.795;35.987.060;34.463.949;38.172.774;49.205.955;50.977.390;56.134.944;58.007.274;55.102.743;60.010.360;63.477.416;66.966.897;71.642.907;75.379.354;77.773.526;76.407.488;77.186.746;79.745.918;79.441.595;19.212.014;22.280.100;50.770.685;66.349.859;72.390.321;;TOTAL All Countries;Canada and Mexico volumes, and the North America and Total All Countries annual volume sums for 2023 and 2024 are subject to revision in February 2026.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OVERSEAS;;;25.974.701;21.832.868;19.116.707;18.026.213;20.322.257;21.678.528;21.668.290;23.892.277;25.341.451;23.756.184;26.362.616;28.539.631;30.070.908;33.688.677;35.295.842;38.700.150;38.129.404;38.905.524;39.883.361;40.393.346;7.594.470;9.174.707;23.952.957;31.468.481;35.159.249;;OVERSEAS (NET);Canada and Mexico volumes, and the North America and Total All Countries annual volume sums for 2023 and 2024 are subject to revision in February 2026.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anguilla;Caribbean;;5.177;4.121;3.050;3.451;4.104;5.090;5.655;6.712;6.280;5.020;3.362;2.535;2.071;1.487;1.049;890;997;818;1.245;1.988;366;659;1.730;2.136;2.271;;Anguilla;
Antigua and Barbuda;Caribbean;;24.918;20.207;16.317;16.479;18.585;19.966;20.949;20.611;19.713;17.213;16.719;15.807;14.703;15.088;14.341;15.605;16.428;14.885;16.437;18.229;3.702;8.360;14.386;18.022;20.685;;Antigua and Barbuda;
Argentina;South America;;533.936;434.011;164.658;150.719;167.726;188.865;212.096;266.971;318.144;356.428;436.192;518.050;608.715;711.119;692.446;798.567;926.321;1.018.177;994.035;854.442;197.748;301.794;524.841;596.155;687.444;;ARGENTINA;
Armenia;Eastern Europe;;8.663;6.634;4.453;3.244;3.664;3.633;3.668;3.271;3.713;3.546;3.183;3.152;4.469;5.499;6.055;6.745;9.873;11.656;12.450;14.896;5.869;9.697;11.920;17.871;21.085;;Armenia;
Aruba;Caribbean;;;;;;;;;;;22.368;16.074;14.785;17.348;17.895;17.813;16.634;9.718;10.096;22.127;25.927;7.456;18.444;21.635;20.413;18.671;;Aruba;
Australia;Oceania;;539.559;425.934;407.130;405.698;519.955;581.773;603.275;669.536;689.927;723.576;904.247;1.052.480;1.131.611;1.307.582;1.308.707;1.453.103;1.350.508;1.323.703;1.362.431;1.319.238;208.707;52.439;641.772;954.481;1.025.011;;AUSTRALIA;
Austria;Western Europe;;175.533;123.295;97.930;99.924;112.950;117.688;117.191;131.339;158.764;162.569;168.403;183.135;185.807;195.610;202.997;221.305;199.332;198.713;201.733;202.239;31.010;28.880;148.129;180.828;196.253;;Austria;
Azerbaijan;Eastern Europe;;1.951;1.562;1.322;1.508;1.563;1.587;2.207;2.636;3.236;3.121;3.518;3.973;4.819;5.444;6.667;6.390;7.093;7.272;7.183;7.777;1.642;2.159;4.948;7.639;9.869;;Azerbaijan;
Bahamas, the;Caribbean;;293.911;293.022;262.469;253.229;265.681;237.140;243.300;256.433;180.914;224.812;243.204;227.803;215.675;229.316;221.465;235.801;262.047;274.437;274.674;301.586;67.209;161.651;224.138;292.612;316.499;;Bahamas, The;
Bahrain;Middle East;;6.735;6.256;3.802;3.745;4.148;5.176;5.630;6.623;7.517;6.566;7.733;7.433;8.525;8.583;9.308;10.354;10.526;9.391;9.914;9.315;1.695;4.191;6.150;7.373;7.872;;Bahrain;
Bangladesh;Asia;;12.724;12.218;9.585;8.434;8.384;9.637;8.288;8.196;8.741;10.175;11.561;13.413;16.442;25.886;34.134;33.847;33.794;31.305;35.655;36.611;8.907;22.814;42.911;58.508;65.228;;Bangladesh;
Barbados;Caribbean;;57.071;46.494;41.934;41.558;49.198;51.233;54.096;55.916;54.891;52.010;54.486;51.698;49.910;54.356;51.916;54.407;60.329;58.506;60.556;63.742;9.092;16.371;36.671;48.154;58.787;;Barbados;
